HH_ID,Output_nonGTGP_i_A,Output_nonGTGP_ii_A,Output_nonGTGP_iii_A,Output_nonGTGP_iv_A,Output_nonGTGP_v_A,Outpu_before_GTGP_i_A,Outpu_before_GTGP_ii_A,Outpu_before_GTGP_iii_A,Outpu_before_GTGP_iv_A,Outpu_before_GTGP_v_A,Plant_last_nonGTGP_i_A,Plant_last_nonGTGP_ii_A,Plant_last_nonGTGP_iii_A,Plant_last_nonGTGP_iv_A,Plant_last_nonGTGP_v_A,Plant_before_GTGP_i_A,Plant_before_GTGP_ii_A,Plant_before_GTGP_iii_A,Plant_before_GTGP_iv_A,Plant_before_GTGP_v_A,Travel_time_GTGP_i,Travel_time_GTGP_ii,Travel_time_GTGP_iii,Travel_time_GTGP_iv,Travel_time_GTGP_v,Travel_time_nonGTGP_i,Travel_time_nonGTGP_ii,Travel_time_nonGTGP_iii,Travel_time_nonGTGP_iv,Travel_time_nonGTGP_v,Type_nonGTGP_i_A,Type_nonGTGP_ii_A,Type_nonGTGP_iii_A,Type_nonGTGP_iv_A,Type_nonGTGP_v_A,Type_before_GTGP_i_A,Type_before_GTGP_ii_A,Type_before_GTGP_iii_A,Type_before_GTGP_iv_A,Type_before_GTGP_v_A,Rice_paddles_mu,Rice_paddles_GTGP_mu,Dry_land_mu,Dry_land_GTGP_mu,Age_1,Gender_1,Education_1,Area_nonGTGP_i,Area_nonGTGP_ii,Area_nonGTGP_ii,Area_nonGTGP_iv,Area_nonGTGP_v,Area_GTGP_i,Area_GTGP_ii,Area_GTGP_iii,Area_GTGP_iv,Area_GTGP_v
total: 94,3.15a_i_A,3.15a_ii_A,3.15a_iii_A,3.15a_iv_A,3.15a_v_A,3.10a_i_A,3.10a_ii_A,3.10a_iii_A,3.10a_iv_A,3.10a_v_A,3.14d_i_A,3.14d_ii_A,3.14d_iii_A,3.14d_iv_A,3.14d_v_A,3.9_i_A,3.9_ii_A,3.9_iii_A,3.9_iv_A,3.9_v_A, 3.4_i,3.4_ii,3.4_iii,3.4_iv,3.4_v,3.14c_i,3.14c_ii,3.14c_iii,3.14c_iv,3.14c_v,3.14a_i_A,3.14a_ii_A,3.14a_iii_A,3.14a_iv_A,3.14a_v_A,3.3a_i_A,3.3a_ii_A,3.3a_iii_A,3.3a_iv_A,3.3a_v_A,,,,,,,,3.14b_i,3.14b_ii,3.14b_iii,3.14b_iv,3.14b_v,3.3b_i,3.3b_ii,3.3b_iii,3.3b_iv,3.3b_v
1,1000,-3,-3,-3,-3,2000,1000,-3,-3,-3,4,-3,-3,-3,-3,2,2,-3,-3,-3,10,50,-3,-3,-3,50,-3,-3,-3,-3,2,-3,-3,-3,-3,1,1,-3,-3,-3,3,1,3,3,65,1,0,2,-3,-3,-3,-3,2,1,-3,-3,-3
2,-3,-3,-3,-3,-3,1200,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,30,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,1.2,1.2,53,1,2,-3,-3,-3,-3,-3,1.2,-3,-3,-3,-3
3,0,1000,500,200,200,1200,1000,-3,-3,-3,7,2,2,2,2,2,2,-3,-3,-3,7,6,-3,-3,-3,30,3,3,2,8,2,2,2,2,1,1,1,-3,-3,-3,4.2,0,2.2,2,60,1,0,1.1,0.5,0.3,0.12,0.1,0.8,0.7,-3,-3,-3
5,480,0,360,0,-3,1300,600,-3,-3,-3,4,4,4,4,-3,2,2,-3,-3,-3,10,3,-3,-3,-3,3,3,3,3,-3,2,2,2,2,-3,1,1,-3,-3,-3,3,0,3,2,48,1,4,1,0.8,0.66,0.33,-3,1,0.5,-3,-3,-3
6,450,770,700,-3,-3,600,100,-3,-3,-3,1,4,4,-3,-3,2,2,-3,-3,-3,20,2,-3,-3,-3,10,5,15,-3,-3,1,2,2,-3,-3,1,1,-3,-3,-3,5,0,4.2,1.2,42,1,4,1.1,1.1,1,-3,-3,0.8,0.12,-3,-3,-3
8,0,1000,700,400,-3,2500,2000,-3,-3,-3,8,2,2,2,-3,2,2,-3,-3,-3,20,30,-3,-3,-3,20,15,12,10,-3,2,2,2,2,-3,1,1,-3,-3,-3,3,0,3,2.3,39,1,9,1.2,0.7,0.5,0.2,3,1.2,1,-3,-3,-3
9,900,800,700,550,-3,600,150,-3,-3,-3,4,4,1,1,-3,2,2,-3,-3,-3,25,10,-3,-3,-3,4,4,5,6,-3,2,2,1,1,-3,1,1,-3,-3,-3,1.5,0,3,0.6,49,2,0,0.66,0.5,1.2,0.8,-3,0.1,1,-3,-3,-3
11,0,0,-3,-3,-3,500,80,-3,-3,-3,7,5,-3,-3,-3,2,2,-3,-3,-3,12,10,-3,-3,-3,5,30,-3,-3,-3,2,2,-3,-3,-3,1,1,-3,-3,-3,2,0,2,1,51,1,3,0.8,0.5,-3,-3,-3,0.5,0.1,-3,-3,-3
14,0,250,-3,-3,-3,500,450,400,-3,-3,5,2,-3,-3,-3,2,2,4,-3,-3,10,10,15,-3,-3,8,1,-3,-3,-3,2,2,-3,-3,-3,1,1,2,-3,-3,2,0.8,1.5,1.2,59,1,0,0.6,0.2,-3,-3,-3,0.7,0.6,1.1,-3,-3
15,-3,-3,150,-3,-3,1500,150,150,-3,-3,5,14,4,-3,-3,2,1,1,-3,-3,15,3,3,-3,-3,10,12,7,-3,-3,1,1,2,-3,-3,1,1,1,-3,-3,3,0,3.6,2.6,62,2,0,1,0.4,0.2,-3,-3,2,0.4,0.2,-3,-3
16,-3,-3,-3,-3,-3,2500,1000,3,-3,-3,5,5,-3,-3,-3,2,2,-3,-3,-3,-4,20,-3,-3,-3,12,10,-3,-3,-3,1,-3,-3,-3,-3,1,1,-3,-3,-3,0,-4,3,2,52,1,5,0.5,0.5,-3,-3,-3,1.5,0.5,-3,-3,-3
17,400,400,400,-3,-3,800,-3,-3,-3,-3,2,2,2,-3,-3,2,-3,-3,-3,-3,15,-3,-3,-3,-3,5,8,8,-3,-3,2,2,2,-3,-3,1,-3,-3,-3,-3,3,0,3,1,56,1,9,0.5,0.5,0.5,-3,-3,0.3,-3,-3,-3,-3
18,-3,-3,-3,-3,-3,200,-3,-3,-3,-3,7,7,-3,-3,-3,2,-3,-3,-3,-3,20,-3,-3,-3,-3,45,25,-3,-3,-3,2,2,-3,-3,-3,1,-3,-3,-3,-3,3,0,2,1,36,1,12,0.5,0.3,-3,-3,-3,0.16,-3,-3,-3,-3
19,-3,500,500,-3,-3,800,700,-3,-3,-3,5,2,2,-3,-3,2,2,-3,-3,-3,20,30,-3,-3,-3,6,1,2,-3,-3,1,2,2,-3,-3,1,1,-3,-3,-3,3.5,0,3,0.5,73,-3,0,1.5,0.75,0.75,-3,-3,0.3,0.3,-3,-3,-3
